MEAT AND EDIBLE MEAT OFFAL.,SEYCHELLES,0.69
MEAT AND EDIBLE MEAT OFFAL.,SOUTH AFRICA,0.07
MEAT AND EDIBLE MEAT OFFAL.,U S A,0.78
