Commodity,country,total_value,rank
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,PERU,0.0,65
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,MALAWI,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BRUNEI,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,VIRGIN IS US,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,ANGOLA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BENIN,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,LITHUANIA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,TOGO,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,PARAGUAY,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,AZERBAIJAN,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,SOMALIA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BURKINA FASO,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,FR POLYNESIA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,CAMBODIA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,IRAN,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,GAMBIA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,EL SALVADOR,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,ST LUCIA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,CONGO D. REP.,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,CONGO P REP,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,DJIBOUTI,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,URUGUAY,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,NIGER,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,TAJIKISTAN,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,MALTA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,GUINEA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,GABON,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,JAMAICA,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,SIERRA LEONE,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BR VIRGN IS,"",109
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,MARTINIQUE,"",109
